fileName,targetName
ENCFF786UOW.bed.gz,QKI
ENCFF999ZAW.bed.gz,SUPV3L1
ENCFF295HRZ.bed.gz,SERBP1
ENCFF880MWQ.bed.gz,PUM2
ENCFF023YVD.bed.gz,DGCR8
ENCFF796RMF.bed.gz,EFTUD2
ENCFF854BHP.bed.gz,DROSHA
ENCFF889AWX.bed.gz,HNRNPUL1
ENCFF139NXB.bed.gz,SFPQ
ENCFF087MAJ.bed.gz,DDX3X
ENCFF858UKE.bed.gz,PRPF8
ENCFF855CPQ.bed.gz,HNRNPK
ENCFF158AOV.bed.gz,FAM120A
ENCFF233PRB.bed.gz,NSUN2
ENCFF335JTC.bed.gz,SUB1
ENCFF886XUO.bed.gz,SRSF1
ENCFF597NVR.bed.gz,UPF1
ENCFF887ARJ.bed.gz,SF3B1
ENCFF039XQD.bed.gz,HNRNPU
ENCFF223JMV.bed.gz,HNRNPU
ENCFF985ECA.bed.gz,LSM11
ENCFF957AOZ.bed.gz,FKBP4
ENCFF051EEW.bed.gz,SBDS
ENCFF918XJQ.bed.gz,HNRNPK
ENCFF442USD.bed.gz,IGF2BP1
ENCFF048YPA.bed.gz,PRPF8
ENCFF607ZRF.bed.gz,EWSR1
ENCFF869RUC.bed.gz,TBRG4
ENCFF640IHY.bed.gz,U2AF1
ENCFF958GMP.bed.gz,XRCC6
ENCFF128AKC.bed.gz,DHX30
ENCFF048RLZ.bed.gz,GNL3
ENCFF765PIF.bed.gz,SRSF9
ENCFF918KMT.bed.gz,TIA1
ENCFF886MLH.bed.gz,NCBP2
ENCFF141DOI.bed.gz,CSTF2T
ENCFF154AYH.bed.gz,NPM1
ENCFF822NWY.bed.gz,TAF15
ENCFF559HGK.bed.gz,PPIL4
ENCFF947CIN.bed.gz,LARP4
ENCFF061XNA.bed.gz,LIN28B
ENCFF423SOR.bed.gz,FASTKD2
ENCFF986XOC.bed.gz,PPIG
ENCFF692RZM.bed.gz,NCBP2
ENCFF027MEO.bed.gz,CDC40
ENCFF618WYU.bed.gz,TBRG4
ENCFF695OLO.bed.gz,XRN2
ENCFF642GNE.bed.gz,PCBP2
ENCFF904KTV.bed.gz,DDX6
ENCFF537KWB.bed.gz,DDX24
ENCFF301IJW.bed.gz,RPS3
ENCFF993VRZ.bed.gz,XRCC6
ENCFF037TVC.bed.gz,TARDBP
ENCFF924OVC.bed.gz,FTO
ENCFF462WAI.bed.gz,DDX55
ENCFF797QRS.bed.gz,DDX55
ENCFF349SVY.bed.gz,CSTF2
ENCFF366UJP.bed.gz,FXR1
ENCFF073IJF.bed.gz,SF3B4
ENCFF597MMG.bed.gz,RBM15
ENCFF934ANS.bed.gz,SRSF1
ENCFF406MSI.bed.gz,HLTF
ENCFF293IZG.bed.gz,RBM22
ENCFF392AEV.bed.gz,HNRNPA1
ENCFF611SOO.bed.gz,TROVE2
ENCFF907HNN.bed.gz,PTBP1
ENCFF810NKV.bed.gz,AGGF1
ENCFF321HPH.bed.gz,XRN2
ENCFF780OCY.bed.gz,SRSF7
ENCFF696QWE.bed.gz,SLTM
ENCFF862ZPV.bed.gz,EFTUD2
ENCFF327VCE.bed.gz,XPO5
ENCFF932UXC.bed.gz,YWHAG
ENCFF777NMK.bed.gz,DDX3X
ENCFF285IGP.bed.gz,ZNF622
ENCFF011NAP.bed.gz,BUD13
ENCFF663QIZ.bed.gz,DHX30
ENCFF466UMQ.bed.gz,FUBP3
ENCFF498IGK.bed.gz,FASTKD2
ENCFF797GSK.bed.gz,HNRNPA1
ENCFF587KKM.bed.gz,MATR3
ENCFF385MJU.bed.gz,ILF3
ENCFF159MMZ.bed.gz,GRWD1
ENCFF307MDW.bed.gz,LARP7
ENCFF623WGE.bed.gz,SLBP
ENCFF399GGH.bed.gz,DDX42
ENCFF128BDG.bed.gz,AARS
ENCFF208ZMI.bed.gz,FAM120A
ENCFF134LIU.bed.gz,BCCIP
ENCFF137YFD.bed.gz,NOLC1
ENCFF317HGW.bed.gz,SRSF7
ENCFF341XMP.bed.gz,LIN28B
ENCFF917CBK.bed.gz,HNRNPL
ENCFF534JCV.bed.gz,LARP4
ENCFF058OOW.bed.gz,ZRANB2
ENCFF327YTD.bed.gz,NOLC1
ENCFF878VVA.bed.gz,CSTF2T
ENCFF031FMO.bed.gz,KHSRP
ENCFF258HOX.bed.gz,ZC3H11A
ENCFF530HTL.bed.gz,RPS3
ENCFF972ZMJ.bed.gz,RBM22
ENCFF071QDP.bed.gz,ILF3
ENCFF193URO.bed.gz,DGCR8
ENCFF649GEE.bed.gz,SF3B4
ENCFF566EAE.bed.gz,TAF15
ENCFF929AWR.bed.gz,GRSF1
ENCFF809CKN.bed.gz,LARP7
ENCFF746XLE.bed.gz,YBX3
ENCFF290DFO.bed.gz,U2AF2
ENCFF858EHN.bed.gz,LSM11
ENCFF241DVU.bed.gz,HNRNPU
ENCFF635NZZ.bed.gz,CPSF6
ENCFF205UTG.bed.gz,AKAP8L
ENCFF704OCI.bed.gz,QKI
ENCFF315HYU.bed.gz,FXR2
ENCFF211TRO.bed.gz,SND1
ENCFF914WFQ.bed.gz,NOL12
ENCFF730QRI.bed.gz,NONO
ENCFF206RIM.bed.gz,RBFOX2
ENCFF950VZO.bed.gz,SF3A3
ENCFF886SDQ.bed.gz,IGF2BP3
ENCFF440ROZ.bed.gz,HNRNPC
ENCFF609LWQ.bed.gz,SND1
ENCFF992LCW.bed.gz,AGGF1
ENCFF871NYM.bed.gz,RBFOX2
ENCFF644LPB.bed.gz,METAP2
ENCFF943XOU.bed.gz,SMNDC1
ENCFF633LQC.bed.gz,DKC1
ENCFF262ILV.bed.gz,BUD13
ENCFF726SQU.bed.gz,PTBP1
ENCFF858CSS.bed.gz,EXOSC5
ENCFF553PTT.bed.gz,DGCR8
ENCFF365LFU.bed.gz,UCHL5
ENCFF054VLU.bed.gz,RBM15
ENCFF207BXK.bed.gz,EIF4G2
ENCFF759KCD.bed.gz,TIA1
ENCFF797BHU.bed.gz,DROSHA
ENCFF313WDF.bed.gz,RPS11
ENCFF056LEW.bed.gz,U2AF1
ENCFF278ZCU.bed.gz,GTF2F1
ENCFF480NUZ.bed.gz,FMR1
ENCFF766OCH.bed.gz,TRA2A
ENCFF794RJQ.bed.gz,TROVE2
ENCFF594EDV.bed.gz,SAFB2
ENCFF247NXL.bed.gz,PUS1
ENCFF610JVZ.bed.gz,HNRNPUL1
ENCFF266TKW.bed.gz,HNRNPL
ENCFF899AWZ.bed.gz,DDX59
ENCFF883KCN.bed.gz,MTPAP
ENCFF674BUM.bed.gz,GPKOW
ENCFF027UTH.bed.gz,KHDRBS1
ENCFF050VVI.bed.gz,GEMIN5
ENCFF573DXD.bed.gz,UCHL5
ENCFF592WIH.bed.gz,ZC3H11A
ENCFF056UAW.bed.gz,EIF3D
ENCFF002HYO.bed.gz,GTF2F1
ENCFF726PFJ.bed.gz,TRA2A
ENCFF736RYV.bed.gz,SMNDC1
ENCFF045HSV.bed.gz,NKRF
ENCFF721PWF.bed.gz,U2AF2
ENCFF445ENC.bed.gz,HNRNPM
ENCFF650LMV.bed.gz,IGF2BP1
ENCFF813JIK.bed.gz,EIF3H
ENCFF591BUK.bed.gz,POLR2G
ENCFF191XRG.bed.gz,SUGP2
ENCFF927KRA.bed.gz,RBM5
ENCFF121RVH.bed.gz,SLTM
ENCFF614NUP.bed.gz,DDX6
ENCFF524ZZB.bed.gz,IGF2BP2
ENCFF752JNY.bed.gz,HNRNPM
ENCFF612HOP.bed.gz,TIAL1
ENCFF644EIR.bed.gz,UTP18
ENCFF198ULC.bed.gz,DDX52
ENCFF404HHM.bed.gz,WRN
ENCFF472CCL.bed.gz,APOBEC3C
ENCFF452MJL.bed.gz,PABPC4
ENCFF709FEU.bed.gz,PABPN1
ENCFF972DFZ.bed.gz,FUS
ENCFF244JER.bed.gz,WDR43
ENCFF588ITW.bed.gz,PHF6
ENCFF378OYA.bed.gz,DDX21
ENCFF941GJK.bed.gz,ABCF1
ENCFF382URH.bed.gz,ZC3H8
ENCFF861KMV.bed.gz,FUS
ENCFF112MVG.bed.gz,FXR2
ENCFF848JWA.bed.gz,SSB
ENCFF094MQV.bed.gz,PUM1
ENCFF955LYD.bed.gz,AATF
ENCFF033MGP.bed.gz,NIP7
ENCFF343TCO.bed.gz,ZNF800
ENCFF105HMJ.bed.gz,ZNF800
ENCFF098REE.bed.gz,PCBP1
ENCFF953WTP.bed.gz,SAFB
ENCFF114EUH.bed.gz,SDAD1
ENCFF899HHP.bed.gz,G3BP1
ENCFF048FDF.bed.gz,HLTF
ENCFF678FCX.bed.gz,STAU2
ENCFF862EKD.bed.gz,EXOSC5
ENCFF949QGM.bed.gz,AQR
ENCFF749IUB.bed.gz,AKAP1
ENCFF185OEI.bed.gz,YBX3
ENCFF167CDB.bed.gz,HNRNPC
ENCFF560RWD.bed.gz,WDR3
ENCFF810EUA.bed.gz,BCLAF1
ENCFF005GER.bed.gz,DDX52
ENCFF799ERK.bed.gz,DDX51
ENCFF825UVD.bed.gz,SDAD1
ENCFF227EJF.bed.gz,PRPF4
ENCFF033EFV.bed.gz,AKAP1
ENCFF351ZDU.bed.gz,FTO
ENCFF246EPM.bed.gz,MATR3
ENCFF554NIV.bed.gz,NIPBL
ENCFF328KJW.bed.gz,SSB
ENCFF945NFS.bed.gz,WDR43
ENCFF028GAJ.bed.gz,UTP3
ENCFF239GPP.bed.gz,SUPV3L1
ENCFF323PUC.bed.gz,AQR
ENCFF783INO.bed.gz,UTP18
ENCFF327DLL.bed.gz,GRWD1
ENCFF771QAU.bed.gz,KHSRP
ENCFF900IOH.bed.gz,PCBP1
ENCFF687EQE.bed.gz,UPF1
ENCFF665BGJ.bed.gz,CPEB4
ENCFF232WUE.bed.gz,SAFB
ENCFF634UAC.bed.gz,EIF3G
