Cell.type,hgnc_symbol,entrezgene_id,ensembl_gene_id
aDC,CCL1,6346,ENSG00000108702
aDC,EBI3,10148,ENSG00000105246
aDC,INDO,3620,ENSG00000131203
aDC,LAMP3,27074,ENSG00000078081
aDC,OAS3,4940,ENSG00000111331
Angiogenesis,A2M,2,ENSG00000175899
Angiogenesis,ACVRL1,94,ENSG00000139567
Angiogenesis,ADCY4,196883,ENSG00000129467
Angiogenesis,APLNR,187,ENSG00000134817
Angiogenesis,CALCRL,10203,ENSG00000064989
Angiogenesis,CDH5,1003,ENSG00000179776
Angiogenesis,CLEC14A,161198,ENSG00000176435
Angiogenesis,CLEC3B,7123,ENSG00000163815
Angiogenesis,CNRIP1,25927,ENSG00000119865
Angiogenesis,COL15A1,1306,ENSG00000204291
Angiogenesis,EBF1,1879,ENSG00000164330
Angiogenesis,ECSCR,641700,ENSG00000249751
Angiogenesis,EDNRB,1910,ENSG00000136160
Angiogenesis,ELTD1,64123,ENSG00000162618
Angiogenesis,EMCN,51705,ENSG00000164035
Angiogenesis,ENG,2022,ENSG00000106991
Angiogenesis,ESAM,90952,ENSG00000149564
Angiogenesis,GIMAP8,155038,ENSG00000171115
Angiogenesis,GNG11,2791,ENSG00000127920
Angiogenesis,GPR116,221395,ENSG00000069122
Angiogenesis,GPR124,25960,ENSG00000020181
Angiogenesis,ITGA9,3680,ENSG00000144668
Angiogenesis,JAM2,58494,ENSG00000154721
Angiogenesis,KDR,3791,ENSG00000128052
Angiogenesis,LDB2,9079,ENSG00000169744
Angiogenesis,LRRC32,2615,ENSG00000137507
Angiogenesis,MYCT1,80177,ENSG00000120279
Angiogenesis,PDGFD,80310,ENSG00000170962
Angiogenesis,PECAM1,5175,ENSG00000261371
Angiogenesis,PLVAP,83483,ENSG00000130300
Angiogenesis,PTPRB,5787,ENSG00000127329
Angiogenesis,RGS5,8490,ENSG00000143248
Angiogenesis,RHOJ,57381,ENSG00000126785
Angiogenesis,ROBO4,54538,ENSG00000154133
Angiogenesis,S1PR1,1901,ENSG00000170989
Angiogenesis,SPARCL1,8404,ENSG00000152583
Angiogenesis,TEK,7010,ENSG00000120156
Angiogenesis,TIE1,7075,ENSG00000066056
Angiogenesis,TM4SF18,116441,ENSG00000163762
Angiogenesis,VWF,7450,ENSG00000110799
Angiogenesis,ZNF423,23090,ENSG00000102935
Antigen presenting machinery class,B2M,567,ENSG00000166710
Antigen presenting machinery class,HLA-A,3105,ENSG00000206503
Antigen presenting machinery class,HLA-B,3106,ENSG00000234745
Antigen presenting machinery class,HLA-C,3107,ENSG00000204525
Antigen presenting machinery class,TAP1,6890,ENSG00000168394
Antigen presenting machinery class,TAP2,6891,ENSG00000204267
Antigen presenting machinery class,TAPBP,6892,ENSG00000231925
B cells,ABCB4,5244,ENSG00000005471
B cells,BACH2,60468,ENSG00000112182
B cells,BCL11A,53335,ENSG00000119866
B cells,BLK,640,ENSG00000136573
B cells,BLNK,29760,ENSG00000095585
B cells,CCR9,10803,ENSG00000173585
B cells,CD19,930,ENSG00000177455
B cells,CD72,971,ENSG00000137101
B cells,COCH,1690,ENSG00000100473
B cells,CR2,1380,ENSG00000117322
B cells,DTNB,1838,ENSG00000138101
B cells,FCRL2,79368,ENSG00000132704
B cells,GLDC,2731,ENSG00000178445
B cells,GNG7,2788,ENSG00000176533
B cells,HLA-DOB,3112,ENSG00000241106
B cells,HLA-DQA1,3117,ENSG00000196735
B cells,IGHA1,3493,ENSG00000211895
B cells,IGHG1,3500,ENSG00000211896
B cells,IGHM,3507,ENSG00000211899
B cells,IGKC,3514,ENSG00000211592
B cells,IGL,3542,ENSG00000222037
B cells,KIAA0125,9834,ENSG00000226777
B cells,MEF2C,4208,ENSG00000081189
B cells,MICAL3,57553,ENSG00000243156
B cells,MS4A1,931,ENSG00000156738
B cells,OSBPL10,114884,ENSG00000144645
B cells,PNOC,5368,ENSG00000168081
B cells,QRSL1,55278,ENSG00000130348
B cells,SCN3A,6328,ENSG00000153253
B cells,SLC15A2,6565,ENSG00000163406
B cells,SPIB,6689,ENSG00000269404
B cells,TCL1A,8115,ENSG00000100721
B cells,TNFRSF17,608,ENSG00000048462
CD8 T cells,ABT1,29777,ENSG00000146109
CD8 T cells,AES,166,ENSG00000104964
CD8 T cells,APBA2,321,ENSG00000034053
CD8 T cells,ARHGAP8,23779,ENSG00000241484
CD8 T cells,C12orf47,51275,ENSG00000234608
CD8 T cells,C19orf6,91304,ENSG00000182087
CD8 T cells,C4orf15,79441,ENSG00000214367
CD8 T cells,CAMLG,819,ENSG00000164615
CD8 T cells,CD8A,925,ENSG00000153563
CD8 T cells,CD8B,926,ENSG00000172116
CD8 T cells,CDKN2AIP,55602,ENSG00000168564
CD8 T cells,DNAJB1,3337,ENSG00000132002
CD8 T cells,FLT3LG,2323,ENSG00000090554
CD8 T cells,GADD45A,1647,ENSG00000116717
CD8 T cells,GZMM,3004,ENSG00000197540
CD8 T cells,KLF9,687,ENSG00000119138
CD8 T cells,LEPROTL1,23484,ENSG00000104660
CD8 T cells,LIME1,54923,ENSG00000203896
CD8 T cells,MYST3,7994,ENSG00000083168
CD8 T cells,PF4,5196,ENSG00000163737
CD8 T cells,PPP1R2,5504,ENSG00000184203
CD8 T cells,PRF1,5551,ENSG00000180644
CD8 T cells,PRR5,55615,ENSG00000186654
CD8 T cells,RBM3,5935,ENSG00000102317
CD8 T cells,SF1,7536,ENSG00000168066
CD8 T cells,SFRS7,6432,ENSG00000115875
CD8 T cells,SLC16A7,9194,ENSG00000118596
CD8 T cells,TBCC,6903,ENSG00000124659
CD8 T cells,THUMPD1,55623,ENSG00000066654
CD8 T cells,TMC6,11322,ENSG00000141524
CD8 T cells,TSC22D3,1831,ENSG00000157514
CD8 T cells,VAMP2,6844,ENSG00000220205
CD8 T cells,ZEB1,6935,ENSG00000148516
CD8 T cells,ZFP36L2,678,ENSG00000152518
CD8 T cells,ZNF22,7570,ENSG00000165512
CD8 T cells,ZNF609,23060,ENSG00000180357
CD8 T cells,ZNF91,7644,ENSG00000167232
Cytotoxic cells,APBA2,321,ENSG00000034053
Cytotoxic cells,APOL3,80833,ENSG00000128284
Cytotoxic cells,CTSW,1521,ENSG00000172543
Cytotoxic cells,DUSP2,1844,ENSG00000158050
Cytotoxic cells,GNLY,10578,ENSG00000115523
Cytotoxic cells,GZMA,3001,ENSG00000145649
Cytotoxic cells,GZMH,2999,ENSG00000100450
Cytotoxic cells,KLRB1,3820,ENSG00000111796
Cytotoxic cells,KLRD1,3824,ENSG00000134539
Cytotoxic cells,KLRF1,51348,ENSG00000150045
Cytotoxic cells,KLRK1,22914,ENSG00000213809
Cytotoxic cells,NKG7,4818,ENSG00000105374
Cytotoxic cells,RORA,6095,ENSG00000069667
Cytotoxic cells,RUNX3,864,ENSG00000020633
Cytotoxic cells,SIGIRR,59307,ENSG00000185187
Cytotoxic cells,WHAMMP3,339005,ENSG00000276141
Cytotoxic cells,ZBTB16,7704,ENSG00000109906
DC,CCL13,6357,ENSG00000181374
DC,CCL17,6361,ENSG00000102970
DC,CCL22,6367,ENSG00000102962
DC,CD209,30835,ENSG00000090659
DC,HSD11B1,3290,ENSG00000117594
DC,NPR1,4881,ENSG00000169418
DC,PPFIBP2,8495,ENSG00000166387
Eosinophils,ABHD2,11057,ENSG00000140526
Eosinophils,ACACB,32,ENSG00000076555
Eosinophils,C9orf156,51531,ENSG00000136932
Eosinophils,CAT,847,ENSG00000121691
Eosinophils,CCR3,1232,ENSG00000183625
Eosinophils,CLC,1178,ENSG00000105205
Eosinophils,CYSLTR2,57105,ENSG00000152207
Eosinophils,EMR1,2015,ENSG00000174837
Eosinophils,EPN2,22905,ENSG00000072134
Eosinophils,GALC,2581,ENSG00000054983
Eosinophils,GPR44,11251,ENSG00000183134
Eosinophils,HES1,3280,ENSG00000114315
Eosinophils,HIST1H1C,3006,ENSG00000187837
Eosinophils,HRH4,59340,ENSG00000134489
Eosinophils,IGSF2,9398,ENSG00000134256
Eosinophils,IL5RA,3568,ENSG00000091181
Eosinophils,KBTBD11,9920,ENSG00000176595
Eosinophils,KCNH2,3757,ENSG00000055118
Eosinophils,LRP5L,91355,ENSG00000100068
Eosinophils,MYO15B,80022,ENSG00000266714
Eosinophils,RCOR3,55758,ENSG00000117625
Eosinophils,RNASE2,6036,ENSG00000169385
Eosinophils,RRP12,23223,ENSG00000052749
Eosinophils,SIAH1,6477,ENSG00000196470
Eosinophils,SMPD3,55512,ENSG00000103056
Eosinophils,SYNJ1,8867,ENSG00000159082
Eosinophils,TGIF1,7050,ENSG00000177426
Eosinophils,THBS1,7057,ENSG00000137801
Eosinophils,THBS4,7060,ENSG00000113296
Eosinophils,TIPARP,25976,ENSG00000163659
Eosinophils,TKTL1,8277,ENSG00000007350
iDC,ABCG2,9429,ENSG00000118777
iDC,BLVRB,645,ENSG00000090013
iDC,CARD9,64170,ENSG00000187796
iDC,CD1A,909,ENSG00000158477
iDC,CD1B,910,ENSG00000158485
iDC,CD1C,911,ENSG00000158481
iDC,CD1E,913,ENSG00000158488
iDC,CH25H,9023,ENSG00000138135
iDC,CLEC10A,10462,ENSG00000132514
iDC,CSF1R,1436,ENSG00000182578
iDC,CTNS,1497,ENSG00000040531
iDC,F13A1,2162,ENSG00000124491
iDC,FABP4,2167,ENSG00000170323
iDC,FZD2,2535,ENSG00000180340
iDC,GSTT1,2952,NA
iDC,GUCA1A,2978,ENSG00000048545
iDC,HS3ST2,9956,ENSG00000122254
iDC,LMAN2L,81562,ENSG00000114988
iDC,MMP12,4321,ENSG00000262406
iDC,MS4A6A,64231,ENSG00000110077
iDC,NUDT9,53343,ENSG00000170502
iDC,PDXK,8566,ENSG00000160209
iDC,PPARG,5468,ENSG00000132170
iDC,PREP,5550,ENSG00000085377
iDC,RAP1GAP,5909,ENSG00000076864
iDC,SLC26A6,65010,ENSG00000225697
iDC,SLC7A8,23428,ENSG00000092068
iDC,SYT17,51760,ENSG00000103528
iDC,TACSTD2,4070,ENSG00000184292
iDC,TM7SF4,81501,ENSG00000164935
iDC,VASH1,22846,ENSG00000071246
Macrophages,APOE,348,ENSG00000130203
Macrophages,ATG7,10533,ENSG00000197548
Macrophages,BCAT1,586,ENSG00000060982
Macrophages,CCL7,6354,ENSG00000108688
Macrophages,CD163,9332,ENSG00000177575
Macrophages,CD68,968,ENSG00000129226
Macrophages,CD84,8832,ENSG00000066294
Macrophages,CHI3L1,1116,ENSG00000133048
Macrophages,CHIT1,1118,ENSG00000133063
Macrophages,CLEC5A,23601,ENSG00000258227
Macrophages,COL8A2,1296,ENSG00000171812
Macrophages,COLEC12,81035,ENSG00000158270
Macrophages,CTSK,1513,ENSG00000143387
Macrophages,CXCL5,6374,ENSG00000163735
Macrophages,CYBB,1536,ENSG00000165168
Macrophages,DNASE2B,58511,ENSG00000137976
Macrophages,EMP1,2012,ENSG00000134531
Macrophages,FDX1,2230,ENSG00000137714
Macrophages,FN1,2335,ENSG00000115414
Macrophages,GM2A,2760,ENSG00000196743
Macrophages,GPC4,2239,ENSG00000076716
Macrophages,KAL1,3730,ENSG00000011201
Macrophages,MARCO,8685,ENSG00000019169
Macrophages,ME1,4199,ENSG00000065833
Macrophages,MS4A4A,51338,ENSG00000110079
Macrophages,MSR1,4481,ENSG00000038945
Macrophages,PCOLCE2,26577,ENSG00000163710
Macrophages,PTGDS,5730,ENSG00000107317
Macrophages,RAI14,26064,ENSG00000039560
Macrophages,SCARB2,950,ENSG00000138760
Macrophages,SCG5,6447,ENSG00000166922
Macrophages,SGMS1,259230,ENSG00000198964
Macrophages,SULT1C2,6819,ENSG00000198203
Mast cells,ABCC4,10257,ENSG00000125257
Mast cells,ADCYAP1,116,ENSG00000141433
Mast cells,CALB2,794,ENSG00000172137
Mast cells,CEACAM8,1088,ENSG00000124469
Mast cells,CMA1,1215,ENSG00000092009
Mast cells,CPA3,1359,ENSG00000163751
Mast cells,CTSG,1511,ENSG00000100448
Mast cells,ELA2,1991,ENSG00000197561
Mast cells,GATA2,2624,ENSG00000179348
Mast cells,HDC,3067,ENSG00000140287
Mast cells,HPGD,3248,ENSG00000164120
Mast cells,HPGDS,27306,ENSG00000163106
Mast cells,KIT,3815,ENSG00000157404
Mast cells,LINC01140,339524,ENSG00000267272
Mast cells,MAOB,4129,ENSG00000069535
Mast cells,MLPH,79083,ENSG00000115648
Mast cells,MPO,4353,ENSG00000005381
Mast cells,MS4A2,2206,ENSG00000149534
Mast cells,NR0B1,190,ENSG00000169297
Mast cells,PPM1H,57460,ENSG00000111110
Mast cells,PRG2,5553,ENSG00000186652
Mast cells,PTGS1,5742,ENSG00000095303
Mast cells,SCG2,7857,ENSG00000171951
Mast cells,SIGLEC6,946,ENSG00000105492
Mast cells,SLC18A2,6571,ENSG00000165646
Mast cells,SLC24A3,57419,ENSG00000185052
Mast cells,TAL1,6886,ENSG00000162367
Mast cells,TPSAB1,7177,ENSG00000172236
Mast cells,TPSB2,64499,ENSG00000197253
Mast cells,VWA5A,4013,ENSG00000110002
Neutrophils,ALPL,249,ENSG00000162551
Neutrophils,BST1,683,ENSG00000109743
Neutrophils,CD93,22918,ENSG00000125810
Neutrophils,CEACAM3,1084,ENSG00000170956
Neutrophils,CREB5,9586,ENSG00000146592
Neutrophils,CRISPLD2,83716,ENSG00000103196
Neutrophils,CSF3R,1441,ENSG00000119535
Neutrophils,CYP4F3,4051,ENSG00000186529
Neutrophils,DYSF,8291,ENSG00000135636
Neutrophils,FCAR,2204,ENSG00000186431
Neutrophils,FCGR3B,2215,ENSG00000162747
Neutrophils,FLJ11151,55313,ENSG00000103381
Neutrophils,FPR1,2357,ENSG00000171051
Neutrophils,FPRL1,2358,ENSG00000171049
Neutrophils,G0S2,50486,ENSG00000123689
Neutrophils,HIST1H2BC,8347,ENSG00000180596
Neutrophils,HPSE,10855,ENSG00000173083
Neutrophils,IL8RA,3579,ENSG00000180871
Neutrophils,IL8RB,3579,ENSG00000180871
Neutrophils,KCNJ15,3772,ENSG00000157551
Neutrophils,LILRB2,10288,ENSG00000131042
Neutrophils,MGAM,8972,ENSG00000257335
Neutrophils,MME,4311,ENSG00000196549
Neutrophils,PDE4B,5142,ENSG00000184588
Neutrophils,S100A12,6283,ENSG00000163221
Neutrophils,SIGLEC5,8778,ENSG00000105501
Neutrophils,SLC22A4,6583,ENSG00000197208
Neutrophils,SLC25A37,51312,ENSG00000147454
Neutrophils,TECPR2,9895,ENSG00000196663
Neutrophils,TNFRSF10C,8794,ENSG00000173535
Neutrophils,VNN3,55350,ENSG00000093134
NK CD56bright cells,MARCHF6,10299,ENSG00000145495
NK CD56bright cells,DUSP4,1846,ENSG00000120875
NK CD56bright cells,FOXJ1,2302,ENSG00000129654
NK CD56bright cells,LPCAT4,254531,ENSG00000176454
NK CD56bright cells,MADD,8567,ENSG00000110514
NK CD56bright cells,MPPED1,758,ENSG00000186732
NK CD56bright cells,MUC3B,57876,NA
NK CD56bright cells,NIBP,83696,ENSG00000167632
NK CD56bright cells,PLA2G6,8398,ENSG00000184381
NK CD56bright cells,RRAD,6236,ENSG00000166592
NK CD56bright cells,XCL1,6375,ENSG00000143184
NK CD56dim cells,EDG8,53637,ENSG00000180739
NK CD56dim cells,FLJ20699,55020,ENSG00000075234
NK CD56dim cells,GTF3C1,2975,ENSG00000077235
NK CD56dim cells,GZMB,3002,ENSG00000100453
NK CD56dim cells,IL21R,50615,ENSG00000103522
NK CD56dim cells,KIR2DL3,3804,ENSG00000243772
NK CD56dim cells,KIR2DS1,3806,NA
NK CD56dim cells,KIR2DS2,100132285,NA
NK CD56dim cells,KIR2DS5,3810,NA
NK CD56dim cells,KIR3DL1,3811,ENSG00000167633
NK CD56dim cells,KIR3DL2,3812,ENSG00000240403
NK CD56dim cells,KIR3DL3,115653,ENSG00000242019
NK CD56dim cells,KIR3DS1,3813,NA
NK CD56dim cells,SPON2,10417,ENSG00000159674
NK CD56dim cells,TMEPAI,56937,ENSG00000124225
NK cells,ADARB1,104,ENSG00000197381
NK cells,AF107846,NA,NA
NK cells,ALDH1B1,219,ENSG00000137124
NK cells,APBB2,323,ENSG00000163697
NK cells,ATL2,64225,ENSG00000119787
NK cells,BCL2,596,ENSG00000171791
NK cells,CDC5L,988,ENSG00000096401
NK cells,FGF18,8817,ENSG00000156427
NK cells,FUT5,2527,ENSG00000130383
NK cells,FZR1,51343,ENSG00000105325
NK cells,GAGE2A,729447,ENSG00000189064
NK cells,IGFBP5,3488,ENSG00000115461
NK cells,KANK2,25959,ENSG00000197256
NK cells,LDB3,11155,ENSG00000122367
NK cells,MAPRE3,22924,ENSG00000084764
NK cells,MCM3AP,8888,ENSG00000160294
NK cells,MRC2,9902,ENSG00000011028
NK cells,NCR1,9437,ENSG00000189430
NK cells,PDLIM4,8572,ENSG00000131435
NK cells,PRX,57716,ENSG00000105227
NK cells,PSMD4,5710,ENSG00000159352
NK cells,RP5-886K2.1,NA,NA
NK cells,SGMS1,259230,ENSG00000198964
NK cells,SLC30A5,64924,ENSG00000145740
NK cells,SMEK1,55671,ENSG00000100796
NK cells,SPN,6693,ENSG00000197471
NK cells,TBXA2R,6915,ENSG00000006638
NK cells,TCTN2,79867,ENSG00000168778
NK cells,TINAGL1,64129,ENSG00000142910
NK cells,TRPV6,55503,ENSG00000165125
NK cells,XCL1,6375,ENSG00000143184
NK cells,XCL2,6846,ENSG00000143185
NK cells,ZNF205,7755,ENSG00000122386
NK cells,ZNF528,84436,ENSG00000167555
NK cells,ZNF747,65988,ENSG00000169955
pDC,IL3RA,3563,ENSG00000185291
T cells,BCL11B,64919,ENSG00000127152
T cells,CD2,914,ENSG00000116824
T cells,CD28,940,ENSG00000178562
T cells,CD3D,915,ENSG00000167286
T cells,CD3E,916,ENSG00000198851
T cells,CD3G,917,ENSG00000160654
T cells,CD6,923,ENSG00000013725
T cells,CD96,10225,ENSG00000153283
T cells,GIMAP5,55340,ENSG00000196329
T cells,ITM2A,9452,ENSG00000078596
T cells,LCK,3932,ENSG00000182866
T cells,NCALD,83988,ENSG00000104490
T cells,PRKCQ,5588,ENSG00000065675
T cells,SH2D1A,4068,ENSG00000183918
T cells,SKAP1,8631,ENSG00000141293
T cells,TRA,6955,NA
T cells,TRAC,28755,ENSG00000277734
T cells,TRAT1,50852,ENSG00000163519
T cells,TRBC1,28639,ENSG00000211751
T helper cells,ANP32B,10541,ENSG00000136938
T helper cells,ASF1A,25842,ENSG00000111875
T helper cells,ATF2,1386,ENSG00000115966
T helper cells,BATF,10538,ENSG00000156127
T helper cells,C13orf34,79866,ENSG00000136122
T helper cells,CD28,940,ENSG00000178562
T helper cells,DDX50,79009,ENSG00000107625
T helper cells,FAM111A,63901,ENSG00000166801
T helper cells,FRYL,285527,ENSG00000075539
T helper cells,GOLGA8A,23015,ENSG00000175265
T helper cells,ICOS,29851,ENSG00000163600
T helper cells,ITM2A,9452,ENSG00000078596
T helper cells,LRBA,987,ENSG00000198589
T helper cells,NAP1L4,4676,ENSG00000205531
T helper cells,NUP107,57122,ENSG00000111581
T helper cells,PHF10,55274,ENSG00000130024
T helper cells,PPP2R5C,5527,ENSG00000078304
T helper cells,RPA1,6117,ENSG00000132383
T helper cells,SEC24C,9632,ENSG00000176986
T helper cells,SLC25A12,8604,ENSG00000115840
T helper cells,SRSF10,10772,ENSG00000188529
T helper cells,TRA,6955,NA
T helper cells,UBE2L3,7332,ENSG00000185651
T helper cells,YME1L1,10730,ENSG00000136758
Tcm cells,AQP3,360,ENSG00000165272
Tcm cells,ATF7IP,55729,ENSG00000171681
Tcm cells,ATM,472,ENSG00000149311
Tcm cells,CASP8,841,ENSG00000064012
Tcm cells,CDC14A,8556,ENSG00000079335
Tcm cells,CEP68,23177,ENSG00000011523
Tcm cells,CLUAP1,23059,ENSG00000103351
Tcm cells,CREBZF,58487,ENSG00000137504
Tcm cells,CYLD,1540,ENSG00000083799
Tcm cells,DOCK9,23348,ENSG00000088387
Tcm cells,FAM153B,202134,ENSG00000182230
Tcm cells,FOXP1,27086,ENSG00000114861
Tcm cells,FYB,2533,ENSG00000082074
Tcm cells,HNRPH1,3187,ENSG00000169045
Tcm cells,INPP4B,8821,ENSG00000109452
Tcm cells,KLF12,11278,ENSG00000118922
Tcm cells,LOC441155,441155,NA
Tcm cells,MAP3K1,4214,ENSG00000095015
Tcm cells,MLL,4297,ENSG00000118058
Tcm cells,N4BP2L2-IT2,116828,ENSG00000281026
Tcm cells,NEFL,4747,ENSG00000277586
Tcm cells,NFATC3,4775,ENSG00000072736
Tcm cells,PCM1,5108,ENSG00000078674
Tcm cells,PCNX,22990,ENSG00000100731
Tcm cells,PDXDC2,109731405,ENSG00000255185
Tcm cells,PHC3,80012,ENSG00000173889
Tcm cells,POLR2J2,246721,ENSG00000228049
Tcm cells,PSPC1,55269,ENSG00000121390
Tcm cells,REPS1,85021,ENSG00000135597
Tcm cells,RPP38,10557,ENSG00000152464
Tcm cells,SLC7A6,9057,ENSG00000103064
Tcm cells,SNRPN,6638,ENSG00000128739
Tcm cells,ST3GAL1,6482,ENSG00000008513
Tcm cells,STX16,8675,ENSG00000124222
Tcm cells,TIMM8A,1678,ENSG00000126953
Tcm cells,TRAF3IP3,80342,ENSG00000009790
Tcm cells,TXK,7294,ENSG00000074966
Tcm cells,TXLNGY,246126,ENSG00000131002
Tcm cells,USP9Y,8287,ENSG00000114374
Tem cells,AKT3,10000,ENSG00000117020
Tem cells,C7orf54,27099,ENSG00000279078
Tem cells,CCR2,729230,ENSG00000121807
Tem cells,DDX17,10521,ENSG00000100201
Tem cells,EWSR1,2130,ENSG00000182944
Tem cells,FLI1,2313,ENSG00000151702
Tem cells,GDPD5,81544,ENSG00000158555
Tem cells,LTK,4058,ENSG00000062524
Tem cells,MEFV,4210,ENSG00000103313
Tem cells,NFATC4,4776,ENSG00000100968
Tem cells,PRKY,5616,ENSG00000099725
Tem cells,TBC1D5,9779,ENSG00000131374
Tem cells,TBCD,6904,ENSG00000141556
Tem cells,TRA,6955,NA
Tem cells,VIL2,7430,ENSG00000092820
Tfh cells,B3GAT1,27087,ENSG00000109956
Tfh cells,BLR1,643,ENSG00000160683
Tfh cells,C18orf1,753,ENSG00000168675
Tfh cells,CDK5R1,8851,ENSG00000176749
Tfh cells,CHGB,1114,ENSG00000089199
Tfh cells,CHI3L2,1117,ENSG00000064886
Tfh cells,CXCL13,10563,ENSG00000156234
Tfh cells,HEY1,23462,ENSG00000164683
Tfh cells,HIST1H4K,8362,ENSG00000273542
Tfh cells,ICA1,3382,ENSG00000003147
Tfh cells,KCNK5,8645,ENSG00000164626
Tfh cells,KIAA1324,57535,ENSG00000116299
Tfh cells,MAF,4094,ENSG00000178573
Tfh cells,MAGEH1,28986,ENSG00000187601
Tfh cells,MKL2,57496,ENSG00000186260
Tfh cells,MYO6,4646,ENSG00000196586
Tfh cells,MYO7A,4647,ENSG00000137474
Tfh cells,PASK,23178,ENSG00000115687
Tfh cells,PDCD1,5133,ENSG00000188389
Tfh cells,POMT1,10585,ENSG00000130714
Tfh cells,PTPN13,5783,ENSG00000163629
Tfh cells,PVALB,5816,ENSG00000100362
Tfh cells,SH3TC1,54436,ENSG00000125089
Tfh cells,SIRPG,55423,ENSG00000089012
Tfh cells,SLC7A10,56301,ENSG00000130876
Tfh cells,SMAD1,4086,ENSG00000170365
Tfh cells,ST8SIA1,6489,ENSG00000111728
Tfh cells,STK39,27347,ENSG00000198648
Tfh cells,THADA,63892,ENSG00000115970
Tfh cells,TOX,9760,ENSG00000198846
Tfh cells,TSHR,7253,ENSG00000165409
Tfh cells,ZNF764,92595,ENSG00000169951
Tgd cells,C1orf61,10485,ENSG00000125462
Tgd cells,CD160,11126,ENSG00000117281
Tgd cells,FEZ1,9638,ENSG00000149557
Tgd cells,TARP,445347,ENSG00000211689
Tgd cells,TRD,6964,NA
Tgd cells,TRGV9,6983,ENSG00000211695
Th1 cells,APBB2,323,ENSG00000163697
Th1 cells,APOD,347,ENSG00000189058
Th1 cells,ATP9A,10079,ENSG00000054793
Th1 cells,BST2,684,ENSG00000130303
Th1 cells,BTG3,10950,ENSG00000154640
Th1 cells,CCL4,6351,ENSG00000275302
Th1 cells,CD38,952,ENSG00000004468
Th1 cells,CD70,970,ENSG00000125726
Th1 cells,CMAH,8418,ENSG00000168405
Th1 cells,CSF2,1437,ENSG00000164400
Th1 cells,CTLA4,1493,ENSG00000163599
Th1 cells,DGKI,9162,ENSG00000157680
Th1 cells,DOK5,55816,ENSG00000101134
Th1 cells,DPP4,1803,ENSG00000197635
Th1 cells,DUSP5,1847,ENSG00000138166
Th1 cells,EGFL6,25975,ENSG00000198759
Th1 cells,GGT1,2678,ENSG00000100031
Th1 cells,HBEGF,1839,ENSG00000113070
Th1 cells,IFNG,3458,ENSG00000111537
Th1 cells,IL12RB2,3595,ENSG00000081985
Th1 cells,IL22,50616,ENSG00000127318
Th1 cells,LRP8,7804,ENSG00000157193
Th1 cells,LRRN3,54674,ENSG00000173114
Th1 cells,LTA,4049,ENSG00000226979
Th1 cells,SGCB,6443,ENSG00000163069
Th1 cells,SYNGR3,9143,ENSG00000127561
Th1 cells,ZBTB32,27033,ENSG00000011590
Th17 cells,IL17A,3605,ENSG00000112115
Th17 cells,IL17RA,23765,ENSG00000177663
Th17 cells,RORC,6097,ENSG00000143365
Th2 cells,ADCY1,107,ENSG00000164742
Th2 cells,AHI1,54806,ENSG00000135541
Th2 cells,ANK1,286,ENSG00000029534
Th2 cells,BIRC5,332,ENSG00000089685
Th2 cells,CDC25C,995,ENSG00000158402
Th2 cells,CDC7,8317,ENSG00000097046
Th2 cells,CENPF,1063,ENSG00000117724
Th2 cells,CXCR6,10663,ENSG00000172215
Th2 cells,DHFR,1719,ENSG00000228716
Th2 cells,EVI5,7813,ENSG00000067208
Th2 cells,GATA3,2625,ENSG00000107485
Th2 cells,GSTA4,2941,ENSG00000170899
Th2 cells,HELLS,3070,ENSG00000119969
Th2 cells,IL26,55801,ENSG00000111536
Th2 cells,LAIR2,3904,ENSG00000167618
Th2 cells,LIMA1,51474,ENSG00000050405
Th2 cells,MB,4151,ENSG00000198125
Th2 cells,MICAL2,9645,ENSG00000133816
Th2 cells,NEIL3,55247,ENSG00000109674
Th2 cells,PHEX,5251,ENSG00000102174
Th2 cells,PMCH,5367,ENSG00000183395
Th2 cells,PTGIS,5740,ENSG00000124212
Th2 cells,SLC39A14,23516,ENSG00000104635
Th2 cells,SMAD2,4087,ENSG00000175387
Th2 cells,SNRPD1,6632,ENSG00000167088
Th2 cells,WDHD1,11169,ENSG00000198554
Treg cells,FOXP3,50943,ENSG00000049768
