Cell.type,Short_Name,Metagene,entrezgene_id,ensembl_id,PMID
Activated CD4 T cell,CD4 T cells,RTKN2,219790,ENSG00000182010,28052254
Activated CD4 T cell,CD4 T cells,ESCO2,157570,ENSG00000171320,28052254
Activated CD4 T cell,CD4 T cells,BRIP1,83990,ENSG00000136492,28052254
Activated CD4 T cell,CD4 T cells,NUF2,83540,ENSG00000143228,28052254
Activated CD4 T cell,CD4 T cells,SAMSN1,64092,ENSG00000155307,28052254
Activated CD4 T cell,CD4 T cells,EXOC6,54536,ENSG00000138190,28052254
Activated CD4 T cell,CD4 T cells,TRAT1,50852,ENSG00000163519,28052254
Activated CD4 T cell,CD4 T cells,PSAT1,29968,ENSG00000135069,28052254
Activated CD4 T cell,CD4 T cells,KNTC1,9735,ENSG00000184445,28052254
Activated CD4 T cell,CD4 T cells,AIM2,9447,ENSG00000163568,28052254
Activated CD4 T cell,CD4 T cells,EXO1,9156,ENSG00000174371,28052254
Activated CD4 T cell,CD4 T cells,PRC1,9055,ENSG00000198901,28052254
Activated CD4 T cell,CD4 T cells,SELL,6402,ENSG00000188404,28052254
Activated CD4 T cell,CD4 T cells,CCL20,6364,ENSG00000115009,28052254
Activated CD4 T cell,CD4 T cells,CCL5,6352,ENSG00000271503,28052254
Activated CD4 T cell,CD4 T cells,CCL4,6351,ENSG00000275302,28052254
Activated CD4 T cell,CD4 T cells,RGS1,5996,ENSG00000090104,28052254
Activated CD4 T cell,CD4 T cells,KIF11,3832,ENSG00000138160,28052254
Activated CD4 T cell,CD4 T cells,ITK,3702,ENSG00000113263,28052254
Activated CD4 T cell,CD4 T cells,IARS,3376,ENSG00000196305,28052254
Activated CD4 T cell,CD4 T cells,ETS1,2113,ENSG00000134954,28052254
Activated CD4 T cell,CD4 T cells,DUSP2,1844,ENSG00000158050,28052254
Activated CD4 T cell,CD4 T cells,CCR7,1236,ENSG00000126353,28052254
Activated CD4 T cell,CD4 T cells,CCNB1,891,ENSG00000134057,28052254
Activated CD4 T cell,CD4 T cells,BIRC3,330,ENSG00000023445,28052254
Activated CD8 T cell,CD8 T cells,PIK3IP1,113791,ENSG00000100100,28052254
Activated CD8 T cell,CD8 T cells,GPT2,84706,ENSG00000166123,28052254
Activated CD8 T cell,CD8 T cells,GEMIN6,79833,ENSG00000152147,28052254
Activated CD8 T cell,CD8 T cells,PTRH2,51651,ENSG00000141378,28052254
Activated CD8 T cell,CD8 T cells,C1GALT1C1,29071,ENSG00000171155,28052254
Activated CD8 T cell,CD8 T cells,TIMM13,26517,ENSG00000099800,28052254
Activated CD8 T cell,CD8 T cells,ADRM1,11047,ENSG00000130706,28052254
Activated CD8 T cell,CD8 T cells,CCT6B,10693,ENSG00000132141,28052254
Activated CD8 T cell,CD8 T cells,AHSA1,10598,ENSG00000100591,28052254
Activated CD8 T cell,CD8 T cells,GNLY,10578,ENSG00000115523,28052254
Activated CD8 T cell,CD8 T cells,MPZL1,9019,ENSG00000197965,28052254
Activated CD8 T cell,CD8 T cells,ZAP70,7535,ENSG00000115085,28052254
Activated CD8 T cell,CD8 T cells,NKG7,4818,ENSG00000105374,28052254
Activated CD8 T cell,CD8 T cells,LCK,3932,ENSG00000182866,28052254
Activated CD8 T cell,CD8 T cells,IL2RB,3560,ENSG00000100385,28052254
Activated CD8 T cell,CD8 T cells,GZMK,3003,ENSG00000113088,28052254
Activated CD8 T cell,CD8 T cells,GZMA,3001,ENSG00000145649,28052254
Activated CD8 T cell,CD8 T cells,GZMH,2999,ENSG00000100450,28052254
Activated CD8 T cell,CD8 T cells,CSE1L,1434,ENSG00000124207,28052254
Activated CD8 T cell,CD8 T cells,CETN3,1070,ENSG00000153140,28052254
Activated CD8 T cell,CD8 T cells,CD69,969,ENSG00000110848,28052254
Activated CD8 T cell,CD8 T cells,CD37,951,ENSG00000104894,28052254
Activated CD8 T cell,CD8 T cells,CD8A,925,ENSG00000153563,28052254
Activated CD8 T cell,CD8 T cells,CD3G,917,ENSG00000160654,28052254
Activated CD8 T cell,CD8 T cells,CD3E,916,ENSG00000198851,28052254
Activated CD8 T cell,CD8 T cells,CD3D,915,ENSG00000167286,28052254
Regulatory T cell,Tregs,CCL3L1,6349,ENSG00000277796,28052254
Regulatory T cell,Tregs,CD72,971,ENSG00000137101,28052254
Regulatory T cell,Tregs,CLEC5A,23601,ENSG00000258227,28052254
Regulatory T cell,Tregs,FOXP3,50943,ENSG00000049768,28052254
Regulatory T cell,Tregs,ITGA4,3676,ENSG00000115232,28052254
Regulatory T cell,Tregs,L1CAM,3897,ENSG00000198910,28052254
Regulatory T cell,Tregs,LIPA,3988,ENSG00000107798,28052254
Regulatory T cell,Tregs,LRP1,4035,ENSG00000123384,28052254
Regulatory T cell,Tregs,LRRC42,115353,ENSG00000116212,28052254
Regulatory T cell,Tregs,MARCO,8685,ENSG00000019169,28052254
Regulatory T cell,Tregs,MMP12,4321,ENSG00000262406,28052254
Regulatory T cell,Tregs,MNDA,4332,ENSG00000163563,28052254
Regulatory T cell,Tregs,MRC1,4360,ENSG00000260314,28052254
Regulatory T cell,Tregs,MS4A6A,64231,ENSG00000110077,28052254
Regulatory T cell,Tregs,PELO,53918,ENSG00000152684,28052254
Regulatory T cell,Tregs,PLEK,5341,ENSG00000115956,28052254
Regulatory T cell,Tregs,PRSS23,11098,ENSG00000150687,28052254
Regulatory T cell,Tregs,PTGIR,5739,ENSG00000160013,28052254
Regulatory T cell,Tregs,ST8SIA4,7903,ENSG00000113532,28052254
Regulatory T cell,Tregs,STAB1,23166,ENSG00000010327,28052254
T cells,T cells,CAMK4,814,ENSG00000152495,31243362
T cells,T cells,CD28,940,ENSG00000178562,31243362
T cells,T cells,CD3D,915,ENSG00000167286,31243362
T cells,T cells,CD3E,916,ENSG00000198851,31243362
T cells,T cells,CD3G,917,ENSG00000160654,31243362
T cells,T cells,CD5,921,ENSG00000110448,31243362
T cells,T cells,CD6,923,ENSG00000013725,31243362
T cells,T cells,CTLA4,1493,ENSG00000163599,31243362
T cells,T cells,ICOS,29851,ENSG00000163600,31243362
T cells,T cells,LRRN3,54674,ENSG00000173114,31243362
T cells,T cells,SIRPG,55423,ENSG00000089012,31243362
T cells,T cells,THEMIS,387357,ENSG00000172673,31243362
T cells,T cells,TRAC,28755,ENSG00000277734,31243362
T cells,T cells,TRAT1,50852,ENSG00000163519,31243362
T cells,T cells,TRAV12-1,28674,ENSG00000211785,31243362
T cells,T cells,TRAV12-3,28672,ENSG00000211794,31243362
T cells,T cells,TRAV13-1,28671,ENSG00000211788,31243362
T cells,T cells,TRAV13-2,28670,ENSG00000211791,31243362
T cells,T cells,UBASH3A,53347,ENSG00000160185,31243362